"URL";"IsDownloaded";"FileName";"FilePath";"FileSize"
"https://lh6.googleusercontent.com/-9giR5RBoHhY/AAAAAAAAAAI/AAAAAAAAAAA/xool7qvcVYE/s0/photo.jpg";"yes";"5ada8bb1c7b9dd2a8f9bfebc28bdd744.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/5ada8bb1c7b9dd2a8f9bfebc28bdd744.jpeg";"90395"
"https://lh6.googleusercontent.com/-oCixDmzDK7g/AAAAAAAAAAI/AAAAAAAAAAA/OHc4CrpvxpI/s0/photo.jpg";"yes";"0b15b0facfa8c3f21fc45c44e25d3350.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/0b15b0facfa8c3f21fc45c44e25d3350.jpeg";"10026"
"https://lh3.googleusercontent.com/-1b5iHy12mF0/AAAAAAAAAAI/AAAAAAAAAAA/8Gr9mi1l46s/s0/photo.jpg";"yes";"61205374d6851abe9528be033ac0fe12.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/61205374d6851abe9528be033ac0fe12.jpeg";"90982"
"https://lh3.googleusercontent.com/-keJjdLRRdTc/AAAAAAAAAAI/AAAAAAAAAAA/lJpngpjP-do/s0/photo.jpg";"yes";"001f908e61c5fc5949ffd79f1c9370c2.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/001f908e61c5fc5949ffd79f1c9370c2.png";"7767"
"https://lh4.googleusercontent.com/-aSqJ_TtbIrM/AAAAAAAAAAI/AAAAAAAAAAA/Oug1JhLtcek/s0/photo.jpg";"yes";"305e657c59089a797e2f5190d99985f5.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/305e657c59089a797e2f5190d99985f5.png";"17532"
"https://lh4.googleusercontent.com/-03v8dlwFr9Q/AAAAAAAAAAI/AAAAAAAAAAA/V5Sgf7auCgk/s0/photo.jpg";"yes";"be7fc7c168bfa319515dd86194537b65.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/be7fc7c168bfa319515dd86194537b65.png";"85949"
"https://lh3.googleusercontent.com/-yoWZPyW1X0w/AAAAAAAAAAI/AAAAAAAAAAA/oO3wwW41HZY/s0/photo.jpg";"yes";"5b6e6f694de95ed8560b421bbe041de5.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/5b6e6f694de95ed8560b421bbe041de5.png";"72380"
"https://lh4.googleusercontent.com/-gUe6SIIiX9U/AAAAAAAAAAI/AAAAAAAAAAA/OrW2fVLiVcw/s0/photo.jpg";"yes";"401e1e3dd3b7353dbe617f930954d47e.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/401e1e3dd3b7353dbe617f930954d47e.png";"604196"
"https://lh6.googleusercontent.com/-XBTZ15h2eSM/AAAAAAAAAAI/AAAAAAAAAAA/pAYnyB0uF6w/s0/photo.jpg";"yes";"a3352a1aa2b0807ccd743ed7b542e4e6.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/a3352a1aa2b0807ccd743ed7b542e4e6.jpeg";"31750"
"https://lh5.googleusercontent.com/-0Nd3jfinQxo/AAAAAAAAAAI/AAAAAAAAAAA/KbTlajNRLZM/s0/photo.jpg";"yes";"6320f0a1c2ab1ef778535a62675ee3d5.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/6320f0a1c2ab1ef778535a62675ee3d5.png";"2780"
"https://lh3.googleusercontent.com/-4agHe1EQqmw/AAAAAAAAAAI/AAAAAAAAAAA/EDL6Ee4VjoM/s0/photo.jpg";"yes";"d52df9a361aed043b65324426e1995cb.png";"/home/rfigura/.config/Google+ Exporter/google-plus-images/d52df9a361aed043b65324426e1995cb.png";"409561"
"https://lh3.googleusercontent.com/-13l5u300r6A/AAAAAAAAAAI/AAAAAAAAAAA/kLUWjCZi0Bk/s0/photo.jpg";"yes";"c6fa3f49eda640391d29bd09d6c2657e.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/c6fa3f49eda640391d29bd09d6c2657e.jpeg";"26788"
"https://lh3.googleusercontent.com/-lr44PpqjhqU/AAAAAAAAAAI/AAAAAAAAAAA/DhMc2fFfQtU/s0/photo.jpg";"yes";"38360c86ea9c22d78a68935a4220a8fc.jpeg";"/home/rfigura/.config/Google+ Exporter/google-plus-images/38360c86ea9c22d78a68935a4220a8fc.jpeg";"284773"
